,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
41,Phil Bardsley,sco SCO,DF,Burnley,35-192,1985,3,3,270,3,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,Matches
42,Ross Barkley,eng ENG,MF,Chelsea,27-032,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,27-032,1993,6,6,454,5,2,1,0,0,0,0,0.4,0.2,0.59,0.4,0.59,1.5,1.5,1.7,0.3,0.34,0.64,0.3,0.64,Matches
44,Ashley Barnes,eng ENG,FW,Burnley,31-068,1989,12,9,784,8.7,1,0,0,0,2,0,0.11,0,0.11,0.11,0.11,2.1,2.1,0.4,0.24,0.04,0.28,0.24,0.28,Matches
45,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-028,1997,16,13,"1,190",13.2,5,1,0,0,0,0,0.38,0.08,0.45,0.38,0.45,3.5,3.5,0.3,0.26,0.02,0.28,0.26,0.28,Matches
46,Kyle Bartley,eng ENG,DF,West Brom,29-229,1991,9,8,745,8.3,1,0,0,0,1,0,0.12,0,0.12,0.12,0.12,1.1,1.1,0,0.13,0,0.13,0.13,0.13,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-170,1988,17,17,"1,426",15.8,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.5,0.04,0.03,0.07,0.04,0.07,Matches
48,Michy Batshuayi,be BEL,FW,Crystal Palace,27-096,1993,10,4,428,4.8,0,1,0,0,0,0,0,0.21,0.21,0,0.21,0.6,0.6,1,0.13,0.22,0.35,0.13,0.35,Matches
49,Jan Bednarek,pl POL,DF,Southampton,24-269,1996,17,17,"1,440",16,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
50,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-263,1997,10,2,257,2.9,1,0,0,0,0,0,0.35,0,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
51,Héctor Bellerín,es ESP,DF,Arsenal,25-293,1995,15,15,"1,280",14.2,0,2,0,0,6,0,0,0.14,0.14,0,0.14,0.2,0.2,2.1,0.01,0.15,0.16,0.01,0.16,Matches
52,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-149,1995,9,3,397,4.4,0,2,0,0,0,0,0,0.45,0.45,0,0.45,0.7,0.7,0.5,0.16,0.12,0.28,0.16,0.28,Matches
