,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
432,Mat?j Vydra,cz CZE,FW,Burnley,28-250,1992,8,1,175,1.9,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.22,0.2,0.43,0.22,0.43,Matches
433,Theo Walcott,eng ENG,"MF,FW",Southampton,31-296,1989,12,12,"1,007",11.2,2,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,2.1,2.1,0.7,0.19,0.07,0.26,0.19,0.26,Matches
434,Theo Walcott,eng ENG,FW,Everton,31-296,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Kyle Walker,eng ENG,DF,Manchester City,30-223,1990,12,11,993,11,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,0.2,0.2,0.3,0.02,0.03,0.04,0.02,0.04,Matches
436,Kyle Walker-Peters,eng ENG,DF,Southampton,23-268,1997,17,17,"1,529",17,0,1,0,0,4,0,0,0.06,0.06,0,0.06,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
437,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-041,1997,14,14,"1,260",14,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,0.3,0.3,0.4,0.02,0.03,0.05,0.02,0.05,Matches
438,Joel Ward,eng ENG,DF,Crystal Palace,31-069,1989,8,8,720,8,0,1,0,0,3,0,0,0.12,0.12,0,0.12,0,0,0.3,0,0.04,0.04,0,0.04,Matches
439,James Ward-Prowse,eng ENG,MF,Southampton,26-066,1994,17,17,"1,530",17,4,4,0,0,3,0,0.24,0.24,0.47,0.24,0.47,0.9,0.9,1.6,0.05,0.09,0.15,0.05,0.15,Matches
440,Ollie Watkins,eng ENG,FW,Aston Villa,25-007,1995,15,15,"1,350",15,6,2,1,2,1,0,0.4,0.13,0.53,0.33,0.47,8.9,7.5,1.6,0.6,0.11,0.7,0.5,0.61,Matches
441,Adam Webster,eng ENG,DF,Brighton,26-002,1995,16,16,"1,440",16,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.2,0.05,0.01,0.06,0.05,0.06,Matches
442,Danny Welbeck,eng ENG,FW,Brighton,30-041,1990,9,7,621,6.9,2,0,0,0,0,0,0.29,0,0.29,0.29,0.29,2.5,2.5,0.6,0.36,0.08,0.45,0.36,0.45,Matches
443,Timo Werner,de GER,FW,Chelsea,24-306,1996,17,16,"1,357",15.1,4,4,0,0,0,0,0.27,0.27,0.53,0.27,0.53,6.6,6.6,2.3,0.43,0.15,0.59,0.43,0.59,Matches
444,Ashley Westwood,eng ENG,MF,Burnley,30-280,1990,15,15,"1,350",15,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,0.3,0.3,2.5,0.02,0.16,0.18,0.02,0.18,Matches
445,Ben White,eng ENG,"DF,MF",Brighton,23-090,1997,16,16,"1,399",15.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,Matches
446,Georginio Wijnaldum,nl NED,MF,Liverpool,30-056,1990,17,15,"1,352",15,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,2,2,1,0.13,0.07,0.2,0.13,0.2,Matches
447,Brandon Williams,eng ENG,DF,Manchester Utd,20-125,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
