,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
146,Ryan Fredericks,eng ENG,DF,West Ham,28-088,1992,3.5,7,4,4,3,0,3,6,50,3,38,8,21.1,22,7,9,9,1,0,8,2,9,15,0,Matches
147,Christian Fuchs,at AUT,DF,Leicester City,34-274,1986,7.8,15,9,13,1,1,5,14,35.7,9,86,23,26.7,53,26,7,16,4,1,12,12,27,31,0,Matches
148,Darnell Furlong,eng ENG,DF,West Brom,25-067,1995,15.8,15,7,9,4,2,7,21,33.3,14,125,34,27.2,65,37,23,40,10,0,30,13,28,49,1,Matches
149,Conor Gallagher,eng ENG,MF,West Brom,20-335,2000,12.9,41,27,16,18,7,11,43,25.6,32,316,94,29.7,113,154,49,30,4,0,26,15,56,17,0,Matches
150,Eric García,es ESP,DF,Manchester City,19-363,2001,2.2,6,2,4,1,1,2,5,40,3,15,5,33.3,10,5,0,2,0,0,2,3,9,7,0,Matches
151,Dwight Gayle,eng ENG,FW,Newcastle Utd,30-081,1990,0.7,0,0,0,0,0,0,3,0,3,15,2,13.3,2,7,6,0,0,0,0,1,1,0,0,Matches
152,David de Gea,es ESP,GK,Manchester Utd,30-060,1990,13.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Anwar El Ghazi,nl NED,FW,Aston Villa,25-248,1995,5.4,6,5,3,1,2,1,6,16.7,5,49,14,28.6,16,20,13,4,0,0,4,1,7,1,0,Matches
154,Kieran Gibbs,eng ENG,DF,West Brom,31-102,1989,5,7,1,6,1,0,1,2,50,1,42,8,19,26,13,3,10,3,0,7,6,13,16,0,Matches
155,Billy Gilmour,sco SCO,MF,Chelsea,19-209,2001,0.4,3,1,1,2,0,1,1,100,0,10,7,70,5,3,2,2,1,0,1,1,4,0,0,Matches
156,Olivier Giroud,fr FRA,FW,Chelsea,34-098,1986,4,4,2,0,2,2,0,3,0,3,71,19,26.8,8,28,35,1,1,0,0,2,6,7,0,Matches
157,Ben Godfrey,eng ENG,DF,Everton,22-357,1998,9.7,23,10,13,8,2,11,17,64.7,6,139,44,31.7,91,41,7,22,8,1,14,17,40,27,0,Matches
158,André Gomes,pt POR,MF,Everton,27-160,1993,6.1,18,12,8,8,2,7,15,46.7,8,120,38,31.7,35,62,23,11,0,0,11,2,20,4,0,Matches
159,Joe Gomez,eng ENG,DF,Liverpool,23-228,1997,6.6,5,2,2,3,0,0,4,0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,Matches
160,Anthony Gordon,eng ENG,"FW,MF",Everton,19-317,2001,1,3,2,3,0,0,0,2,0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0,Matches
161,Karlan Grant,eng ENG,FW,West Brom,23-110,1997,9.5,3,1,0,3,0,1,3,33.3,2,118,30,25.4,9,49,60,5,0,0,5,6,9,11,0,Matches
162,Demarai Gray,eng ENG,FW,Leicester City,24-192,1996,0.2,2,2,2,0,0,0,0,,0,5,2,40,1,1,3,0,0,0,0,0,2,0,0,Matches
163,Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-118,1995,15,17,11,3,9,5,2,12,16.7,10,204,74,36.3,44,80,80,14,1,0,13,6,23,2,1,Matches
164,Mason Greenwood,eng ENG,FW,Manchester Utd,19-097,2001,6.9,12,8,6,2,4,1,9,11.1,8,94,25,26.6,16,46,32,2,0,0,2,4,16,0,0,Matches
165,Pascal Groß,de GER,MF,Brighton,29-205,1991,8,9,6,5,4,0,2,7,28.6,5,104,29,27.9,26,52,26,9,2,0,7,4,13,6,0,Matches
166,Kamil Grosicki,pl POL,"FW,MF",West Brom,32-212,1988,0.1,0,0,0,0,0,0,0,,0,1,1,100,0,0,1,0,0,0,0,0,0,0,0,Matches
167,Vicente Guaita,es ESP,GK,Crystal Palace,33-362,1987,17,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,0,Matches
168,?lkay Gündo?an,de GER,MF,Manchester City,30-074,1990,8.2,9,6,5,4,0,3,17,17.6,14,85,27,31.8,22,45,18,8,3,0,5,5,14,6,0,Matches
169,Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16-292,2004,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,1,0,0,1,0,0,0,0,Matches
170,Sébastien Haller,ci CIV,FW,West Ham,26-198,1994,10.4,11,4,1,5,5,4,18,22.2,14,199,42,21.1,12,115,72,4,1,0,3,5,16,7,0,Matches
171,Rekeem Harper,eng ENG,MF,West Brom,20-304,2000,0.4,2,1,1,1,0,1,1,100,0,9,0,0,2,6,1,0,0,0,0,0,2,0,0,Matches
172,Jack Harrison,eng ENG,MF,Leeds United,24-047,1996,14.5,30,17,17,6,7,8,20,40,12,259,89,34.4,79,85,95,12,0,0,12,8,38,10,0,Matches
173,Kortney Hause,eng ENG,DF,Aston Villa,25-174,1995,4,4,4,2,2,0,0,0,,0,15,6,40,8,6,1,4,2,0,2,3,7,34,0,Matches
174,Kai Havertz,de GER,"MF,FW",Chelsea,21-209,1999,9.1,14,8,5,8,1,3,19,15.8,16,146,34,23.3,31,72,43,17,2,0,15,7,21,11,1,Matches
175,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25-290,1995,10.1,14,10,5,8,1,2,8,25,6,165,42,25.5,77,70,18,18,3,0,15,17,31,32,1,Matches
176,Michael Hector,jm JAM,DF,Fulham,28-171,1992,2.9,7,5,4,3,0,3,7,42.9,4,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0,Matches
177,Ahmed Hegazi,eg EGY,DF,West Brom,29-347,1991,1,0,0,0,0,0,0,0,,0,10,4,40,8,2,0,2,0,0,2,0,0,11,0,Matches
178,Dean Henderson,eng ENG,GK,Manchester Utd,23-300,1997,2.5,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0,Matches
179,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30-203,1990,12.6,14,8,5,6,3,6,21,28.6,15,142,47,33.1,38,74,30,24,2,1,22,12,26,17,0,Matches
180,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28-341,1992,9.1,3,2,2,1,0,0,12,0,12,108,25,23.1,29,65,14,17,7,0,10,4,7,18,0,Matches
181,Pablo Hernández,es ESP,MF,Leeds United,35-270,1985,2.7,5,2,2,1,2,4,13,30.8,9,43,9,20.9,5,22,16,0,0,0,0,3,8,0,0,Matches
182,Son Heung-min,kr KOR,FW,Tottenham,28-182,1992,14.9,12,4,5,4,3,4,30,13.3,26,292,62,21.2,58,148,86,19,3,0,16,8,20,2,0,Matches
183,Ki-Jana Hoever,nl NED,DF,Wolves,18-354,2002,1.3,6,3,5,1,0,4,7,57.1,3,22,3,13.6,13,9,0,0,0,0,0,2,8,6,0,Matches
184,Rob Holding,eng ENG,DF,Arsenal,25-108,1995,13.5,19,10,12,5,2,6,13,46.2,7,133,36,27.1,81,47,5,25,12,0,13,6,25,69,0,Matches
185,Mason Holgate,eng ENG,DF,Everton,24-076,1996,6.9,16,9,9,5,2,6,12,50,6,72,23,31.9,27,30,15,16,4,0,12,14,30,28,0,Matches
186,Conor Hourihane,ie IRL,MF,Aston Villa,29-339,1991,2.5,0,0,0,0,0,0,2,0,2,17,6,35.3,4,6,7,3,0,0,3,0,0,2,0,Matches
187,Callum Hudson-Odoi,eng ENG,FW,Chelsea,20-060,2000,3.7,5,3,1,3,1,1,4,25,3,31,10,32.3,4,17,10,2,0,0,2,2,7,1,0,Matches
188,Pierre Højbjerg,dk DEN,MF,Tottenham,25-154,1995,16,61,41,31,24,6,27,53,50.9,26,319,95,29.8,147,141,31,22,3,0,19,17,78,35,0,Matches
189,Odion Ighalo,ng NGA,FW,Manchester Utd,31-204,1989,0.1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
190,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,24-095,1996,2.6,0,0,0,0,0,0,2,0,2,40,6,15,1,19,20,5,1,0,4,0,0,1,0,Matches
191,Danny Ings,eng ENG,FW,Southampton,28-167,1992,11.7,12,5,5,6,1,6,14,42.9,8,195,49,25.1,28,75,92,29,2,0,27,2,14,10,1,Matches
192,Branislav Ivanovi?,rs SRB,DF,West Brom,36-319,1984,8.2,14,5,9,5,0,5,11,45.5,6,82,18,22,53,28,1,14,7,0,7,3,17,29,0,Matches
193,Alex Iwobi,ng NGA,"FW,DF",Everton,24-248,1996,8.7,15,11,8,7,0,5,14,35.7,9,108,36,33.3,52,32,24,15,1,0,14,8,23,9,0,Matches
194,Phil Jagielka,eng ENG,"DF,MF",Sheffield Utd,38-142,1982,1.6,4,0,3,1,0,2,3,66.7,1,15,3,20,9,6,0,4,1,0,3,2,6,6,1,Matches
195,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,27-148,1993,2.8,4,2,0,3,1,2,7,28.6,5,37,11,29.7,4,13,20,4,0,0,4,2,6,0,0,Matches
196,Daniel James,wal WAL,FW,Manchester Utd,23-057,1997,3.6,4,3,1,2,1,0,8,0,8,60,15,25,8,25,27,6,0,0,6,5,9,1,0,Matches
197,Reece James,eng ENG,DF,Chelsea,21-029,1999,12,32,17,21,10,1,10,20,50,10,171,48,28.1,82,74,15,28,5,0,23,15,47,25,0,Matches
198,Gabriel Jesus,br BRA,FW,Manchester City,23-278,1997,7,7,4,4,2,1,4,8,50,4,98,30,30.6,11,34,53,4,1,0,3,8,15,1,0,Matches
199,Raúl Jiménez,mx MEX,FW,Wolves,29-246,1991,9.1,7,4,1,4,2,0,7,0,7,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1,Matches
200,Joelinton,br BRA,"FW,MF",Newcastle Utd,24-145,1996,10.6,21,11,3,14,4,10,19,52.6,9,188,47,25,39,107,42,15,1,0,14,5,26,13,0,Matches
201,Ben Johnson,eng ENG,DF,West Ham,20-348,2000,1.6,2,1,2,0,0,2,2,100,0,12,2,16.7,6,6,0,1,0,0,1,2,4,1,0,Matches
202,Sam Johnstone,eng ENG,GK,West Brom,27-287,1993,17,0,0,0,0,0,0,0,,0,2,2,100,2,0,0,0,0,0,0,0,0,0,0,Matches
203,Curtis Jones,eng ENG,MF,Liverpool,19-342,2001,7.5,16,12,7,6,3,9,17,52.9,8,119,41,34.5,31,49,39,9,0,0,9,6,22,7,1,Matches
204,Jorginho,it ITA,MF,Chelsea,29-017,1991,7.1,20,10,11,5,4,6,17,35.3,11,144,58,40.3,57,69,18,13,1,0,12,14,34,6,0,Matches
205,Diogo Jota,pt POR,FW,Liverpool,24-033,1996,5.6,5,3,1,2,2,1,17,5.9,16,130,32,24.6,34,50,46,4,0,0,4,3,8,1,0,Matches
206,James Justin,eng ENG,DF,Leicester City,22-318,1998,17,44,19,30,11,3,10,23,43.5,13,249,81,32.5,136,73,40,33,6,0,27,16,60,34,0,Matches
207,Aboubakar Kamara,fr FRA,"FW,DF",Fulham,25-305,1995,3.1,2,2,2,0,0,1,5,20,4,59,10,16.9,10,26,23,9,1,0,8,2,4,2,0,Matches
208,Harry Kane,eng ENG,FW,Tottenham,27-162,1993,15.9,9,6,3,4,2,3,12,25,9,200,47,23.5,13,94,93,16,6,1,10,6,15,27,0,Matches
209,N'Golo Kanté,fr FRA,MF,Chelsea,29-283,1991,16.4,56,35,28,26,2,19,45,42.2,26,329,117,35.6,146,141,42,41,3,0,38,37,93,19,0,Matches
210,Moise Kean,it ITA,FW,Everton,20-313,2000,0.2,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
211,Michael Keane,eng ENG,DF,Everton,27-361,1993,14.7,14,8,11,2,1,4,11,36.4,7,75,29,38.7,49,21,5,24,13,0,11,9,23,68,1,Matches
212,Neeskens Kebano,cd COD,"FW,MF",Fulham,28-302,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30,4,13,13,5,0,0,5,0,1,1,0,Matches
213,Naby Keïta,gn GUI,MF,Liverpool,25-331,1995,4.4,6,4,4,1,1,1,14,7.1,13,119,34,28.6,15,58,46,8,0,0,8,10,16,2,0,Matches
214,Caoimhin Kelleher,ie IRL,GK,Liverpool,22-044,1998,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Jonjoe Kenny,eng ENG,DF,Everton,23-297,1997,0.9,1,0,1,0,0,0,1,0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,Matches
216,Max Kilman,eng ENG,DF,Wolves,23-228,1997,8.4,11,7,9,2,0,5,9,55.6,4,66,19,28.8,46,18,2,12,5,0,7,7,18,28,0,Matches
217,Mateusz Klich,pl POL,MF,Leeds United,30-207,1990,15.6,33,27,12,15,6,5,31,16.1,26,318,100,31.4,75,168,75,20,4,0,16,12,45,12,0,Matches
218,Robin Koch,de GER,DF,Leeds United,24-173,1996,10.1,20,13,13,7,0,9,18,50,9,122,33,27,68,52,2,24,11,0,13,7,27,29,2,Matches
219,Sead Kolašinac,ba BIH,DF,Arsenal,27-200,1993,1,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
220,Ezri Konsa,eng ENG,DF,Aston Villa,23-075,1997,12.5,10,6,8,2,0,4,4,100,0,78,24,30.8,46,24,8,17,9,0,8,3,13,60,0,Matches
221,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,31-016,1989,16.7,30,18,23,6,1,12,22,54.5,10,148,52,35.1,97,41,10,26,13,0,13,13,43,73,1,Matches
222,Mateo Kova?i?,hr CRO,MF,Chelsea,26-245,1994,7.2,14,9,7,7,0,5,13,38.5,8,119,29,24.4,31,61,27,10,1,0,9,9,23,4,0,Matches
223,Emil Krafth,se SWE,DF,Newcastle Utd,26-157,1994,3.2,8,6,2,6,0,2,3,66.7,1,45,14,31.1,21,18,6,3,2,0,1,2,10,15,0,Matches
224,Filip Krovinovi?,hr CRO,MF,West Brom,25-130,1995,6.1,16,10,6,7,3,5,18,27.8,13,99,21,21.2,35,52,12,5,0,0,5,2,18,5,0,Matches
225,Alexandre Lacazette,fr FRA,FW,Arsenal,29-223,1991,9.6,16,12,5,8,3,2,8,25,6,149,49,32.9,21,70,58,14,2,0,12,7,23,5,0,Matches
226,Adam Lallana,eng ENG,"MF,FW",Brighton,32-241,1988,8.5,6,5,5,0,1,1,16,6.3,15,141,41,29.1,37,67,37,11,0,0,11,7,13,8,0,Matches
227,Érik Lamela,ar ARG,FW,Tottenham,28-308,1992,2.2,7,5,0,5,2,1,2,50,1,47,15,31.9,8,25,14,0,0,0,0,1,8,1,0,Matches
228,Tariq Lamptey,eng ENG,DF,Brighton,20-098,2000,9.8,17,10,9,6,2,7,13,53.8,6,125,41,32.8,49,54,22,15,1,0,14,13,30,17,0,Matches
229,Manuel Lanzini,ar ARG,"MF,FW",West Ham,27-326,1993,2.6,1,1,0,1,0,1,3,33.3,2,48,17,35.4,12,21,15,9,0,0,9,4,5,0,0,Matches
230,Aymeric Laporte,fr FRA,DF,Manchester City,26-224,1994,4,3,2,2,1,0,1,5,20,4,18,6,33.3,12,5,1,3,1,0,2,2,5,16,0,Matches
231,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27-056,1993,7.5,10,6,7,3,0,2,4,50,2,59,16,27.1,41,16,2,17,9,2,8,4,14,46,1,Matches
232,Maxime Le Marchand,fr FRA,DF,Fulham,31-087,1989,1.4,2,1,2,0,0,1,1,100,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,Matches
233,Mario Lemina,ga GAB,MF,Fulham,27-127,1993,5.1,22,13,13,6,3,6,13,46.2,7,97,30,30.9,44,43,10,11,1,0,10,14,36,6,0,Matches
234,Bernd Leno,de GER,GK,Arsenal,28-308,1992,17,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,Matches
235,Jamal Lewis,nir NIR,DF,Newcastle Utd,22-347,1998,11.3,27,13,18,7,2,14,25,56,11,179,39,21.8,103,63,13,18,3,0,15,9,36,21,0,Matches
236,Victor Lindelöf,se SWE,DF,Manchester Utd,26-173,1994,12.7,11,7,7,4,0,4,8,50,4,77,29,37.7,46,28,3,24,9,0,15,9,20,55,0,Matches
237,Jake Livermore,eng ENG,MF,West Brom,31-053,1989,8.5,15,8,3,10,2,5,16,31.3,11,148,35,23.6,34,88,26,20,4,0,16,12,27,17,0,Matches
238,Diego Llorente,es ESP,DF,Leeds United,27-143,1993,0.9,5,4,1,4,0,3,3,100,0,13,10,76.9,7,6,0,2,2,0,0,2,7,5,0,Matches
239,Hugo Lloris,fr FRA,GK,Tottenham,34-011,1986,16,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
240,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,24-272,1996,4.9,17,9,9,6,2,4,17,23.5,13,162,42,25.9,56,76,30,5,1,0,4,2,19,4,0,Matches
241,Ruben Loftus-Cheek,eng ENG,"FW,MF",Fulham,24-349,1996,6.7,14,10,8,5,1,5,7,71.4,2,113,35,31,20,58,35,7,1,0,6,6,20,5,0,Matches
242,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24-349,1996,0.7,0,0,0,0,0,0,0,,0,14,4,28.6,3,7,4,1,0,0,1,1,1,0,0,Matches
243,Kevin Long,ie IRL,DF,Burnley,30-141,1990,6,13,7,9,4,0,5,8,62.5,3,48,17,35.4,30,17,1,6,4,0,2,3,16,26,0,Matches
244,Shane Long,ie IRL,"FW,MF",Southampton,33-350,1987,2.1,2,0,0,0,2,1,3,33.3,2,30,7,23.3,2,15,13,1,0,0,1,1,3,0,0,Matches
245,Matthew Longstaff,eng ENG,MF,Newcastle Utd,20-291,2000,3.3,4,3,4,0,0,2,6,33.3,4,87,22,25.3,28,52,7,9,0,0,9,6,10,3,0,Matches
246,Sean Longstaff,eng ENG,MF,Newcastle Utd,23-068,1997,8.2,19,11,7,9,3,13,26,50,13,198,55,27.8,85,88,25,16,1,0,15,10,29,10,1,Matches
247,Ademola Lookman,eng ENG,FW,Fulham,23-078,1997,11.2,18,13,6,10,2,1,14,7.1,13,188,70,37.2,47,88,53,16,1,0,15,11,29,6,0,Matches
248,Max Lowe,eng ENG,DF,Sheffield Utd,23-240,1997,4.6,19,10,17,2,0,6,18,33.3,12,103,25,24.3,51,42,10,15,2,0,13,2,21,7,1,Matches
249,Matthew Lowton,eng ENG,DF,Burnley,31-211,1989,11,23,9,11,11,1,13,25,52,12,91,21,23.1,40,46,5,26,4,0,22,13,36,35,0,Matches
250,David Luiz,br BRA,DF,Arsenal,33-259,1987,5.3,8,4,2,6,0,2,2,100,0,35,10,28.6,20,13,2,15,7,0,8,3,11,23,1,Matches
251,Douglas Luiz,br BRA,MF,Aston Villa,22-242,1998,13.6,26,17,12,12,2,9,25,36,16,228,61,26.8,84,112,32,22,7,0,15,8,34,16,0,Matches
252,John Lundstram,eng ENG,MF,Sheffield Utd,26-323,1994,8.5,9,2,4,4,1,3,17,17.6,14,114,28,24.6,36,54,24,14,5,0,9,7,16,8,1,Matches
253,Alexis Mac Allister,ar ARG,"FW,MF",Brighton,22-013,1998,1.5,4,2,3,1,0,1,2,50,1,36,12,33.3,10,12,14,4,0,0,4,1,5,1,0,Matches
254,James Maddison,eng ENG,"MF,FW",Leicester City,24-044,1996,10.7,17,10,3,6,8,5,12,41.7,7,177,48,27.1,33,84,60,6,0,0,6,9,26,3,0,Matches
255,Harry Maguire,eng ENG,DF,Manchester Utd,27-307,1993,16,16,10,11,5,0,7,15,46.7,8,95,39,41.1,57,36,2,22,12,0,10,34,50,68,0,Matches
256,Riyad Mahrez,dz ALG,"FW,DF",Manchester City,29-320,1991,8.6,13,10,2,5,6,6,19,31.6,13,104,24,23.1,12,49,43,8,0,0,8,0,13,1,0,Matches
257,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,23-130,1997,4.7,15,11,9,5,1,7,10,70,3,94,24,25.5,43,35,16,13,3,0,10,13,28,11,1,Matches
258,Sadio Mané,sn SEN,FW,Liverpool,28-271,1992,14.8,24,20,5,12,7,7,15,46.7,8,215,77,35.8,29,77,109,18,2,0,16,7,31,3,0,Matches
259,Javier Manquillo,es ESP,DF,Newcastle Utd,26-246,1994,5.1,14,8,6,7,1,4,6,66.7,2,56,18,32.1,30,20,6,8,1,0,7,3,17,11,0,Matches
260,Fernando Marçal,br BRA,DF,Wolves,31-322,1989,6.3,9,4,5,4,0,2,6,33.3,4,58,19,32.8,30,18,10,17,2,0,15,7,16,22,0,Matches
261,Solly March,eng ENG,DF,Brighton,26-170,1994,14.6,42,25,21,16,5,10,20,50,10,177,49,27.7,63,61,53,39,4,0,35,14,56,9,0,Matches
262,Pablo Marí,es ESP,DF,Arsenal,27-128,1993,3,6,6,5,1,0,1,1,100,0,19,9,47.4,10,9,0,8,4,0,4,1,7,23,0,Matches
263,Anthony Martial,fr FRA,FW,Manchester Utd,25-032,1995,9.2,0,0,0,0,0,0,4,0,4,93,32,34.4,4,29,60,9,2,0,7,0,0,5,0,Matches
264,Martinelli,br BRA,FW,Arsenal,19-202,2001,1.7,3,1,1,1,1,2,7,28.6,5,30,2,6.7,5,7,18,0,0,0,0,4,7,2,0,Matches
265,Emiliano Martínez,ar ARG,GK,Aston Villa,28-126,1992,15,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
266,Arthur Masuaku,cd COD,DF,West Ham,27-060,1993,9.4,17,11,13,3,1,11,29,37.9,18,103,34,33,63,26,14,27,0,0,27,3,20,14,0,Matches
267,Juan Mata,es ESP,FW,Manchester Utd,32-253,1988,3.7,2,2,1,1,0,0,5,0,5,43,10,23.3,9,13,21,2,0,0,2,0,2,2,0,Matches
268,Nemanja Mati?,rs SRB,MF,Manchester Utd,32-158,1988,6.1,14,8,8,6,0,4,15,26.7,11,99,32,32.3,47,49,3,19,1,0,18,4,18,7,0,Matches
269,Joël Matip,cm CMR,DF,Liverpool,29-151,1991,6.2,12,8,9,3,0,4,7,57.1,3,47,19,40.4,30,16,1,6,0,0,6,3,15,20,0,Matches
270,Neal Maupay,fr FRA,"FW,MF",Brighton,24-145,1996,12.4,10,8,2,5,3,0,4,0,4,166,52,31.3,29,64,73,9,2,0,7,3,13,3,0,Matches
271,James McArthur,sco SCO,MF,Crystal Palace,33-091,1987,13.3,45,21,25,16,4,14,38,36.8,24,302,86,28.5,130,144,28,29,3,0,26,17,62,19,0,Matches
272,Oliver McBurnie,sco SCO,FW,Sheffield Utd,24-216,1996,9.2,10,5,5,3,2,4,13,30.8,9,198,43,21.7,16,111,71,12,3,0,9,5,15,14,0,Matches
273,Alex McCarthy,eng ENG,GK,Southampton,31-034,1989,16,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,Matches
274,James McCarthy,ie IRL,MF,Crystal Palace,30-055,1990,3.7,10,5,8,2,0,4,9,44.4,5,75,15,20,37,35,3,8,3,0,5,5,15,5,0,Matches
275,John McGinn,sco SCO,MF,Aston Villa,26-080,1994,15,30,18,11,15,4,8,28,28.6,20,215,61,28.4,55,118,42,14,1,0,13,6,36,13,2,Matches
276,David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,33-038,1987,10.3,8,2,1,5,2,2,9,22.2,7,181,45,24.9,29,73,79,19,2,0,17,7,15,7,0,Matches
277,Dwight McNeil,eng ENG,MF,Burnley,21-045,1999,13,21,11,7,12,2,4,23,17.4,19,241,57,23.7,55,131,55,23,1,0,22,9,30,10,1,Matches
278,Scott McTominay,sco SCO,MF,Manchester Utd,24-029,1996,10.2,20,12,15,5,0,6,19,31.6,13,161,52,32.3,62,78,21,31,7,0,24,13,33,16,0,Matches
279,Ben Mee,eng ENG,DF,Burnley,31-105,1989,9,8,5,7,1,0,3,6,50,3,36,6,16.7,22,12,2,16,11,0,5,2,10,67,0,Matches
280,Benjamin Mendy,fr FRA,DF,Manchester City,26-173,1994,5.6,7,4,3,2,2,2,8,25,6,51,14,27.5,14,24,13,10,2,0,8,2,9,8,1,Matches
281,Edouard Mendy,sn SEN,GK,Chelsea,28-311,1992,13,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
282,Nampalys Mendy,fr FRA,MF,Leicester City,28-197,1992,12.3,25,15,14,10,1,5,11,45.5,6,195,65,33.3,81,91,23,17,1,0,16,7,32,2,0,Matches
283,Illan Meslier,fr FRA,GK,Leeds United,20-310,2000,17,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,1,Matches
284,Luka Milivojevi?,rs SRB,MF,Crystal Palace,29-274,1991,9.1,20,14,6,10,4,11,26,42.3,15,153,42,27.5,61,72,20,12,1,0,11,10,30,14,0,Matches
285,James Milner,eng ENG,"MF,DF",Liverpool,35-002,1986,3.9,10,6,5,5,0,5,12,41.7,7,60,22,36.7,19,29,12,18,2,0,16,3,13,6,0,Matches
286,Yerry Mina,co COL,DF,Everton,26-105,1994,14,18,8,13,5,0,3,6,50,3,102,27,26.5,64,37,1,22,15,0,7,8,26,79,1,Matches
287,Takumi Minamino,jp JPN,"MF,FW",Liverpool,25-356,1995,3.2,4,3,1,2,1,0,12,0,12,79,24,30.4,19,38,22,0,0,0,0,0,4,3,0,Matches
288,Tyrone Mings,eng ENG,DF,Aston Villa,27-299,1993,13.5,11,8,8,3,0,5,9,55.6,4,84,30,35.7,41,36,7,21,11,0,10,2,13,69,0,Matches
289,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21-127,1999,8,32,12,20,6,6,6,13,46.2,7,145,38,26.2,93,32,20,22,2,0,20,7,39,23,0,Matches
290,Aleksandar Mitrovi?,rs SRB,FW,Fulham,26-112,1994,8.8,8,6,1,4,3,2,5,40,3,105,38,36.2,9,34,62,12,4,0,8,1,9,4,0,Matches
291,Jayson Molumby,ie IRL,MF,Brighton,21-153,1999,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
292,Wes Morgan,jm JAM,DF,Leicester City,36-351,1984,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
293,Mason Mount,eng ENG,"MF,FW",Chelsea,21-362,1999,15,35,21,13,15,7,8,34,23.5,26,298,82,27.5,76,136,86,19,1,0,18,15,50,11,0,Matches
294,Lucas Moura,br BRA,"FW,MF",Tottenham,28-146,1992,5.1,10,5,3,6,1,3,12,25,9,106,23,21.7,33,44,29,6,0,0,6,5,15,4,0,Matches
295,Lys Mousset,fr FRA,FW,Sheffield Utd,24-333,1996,2.3,0,0,0,0,0,0,3,0,3,42,9,21.4,1,17,24,1,1,0,0,0,0,0,0,Matches
296,João Moutinho,pt POR,MF,Wolves,34-120,1986,11.9,36,24,20,14,2,16,41,39,25,209,69,33,87,102,20,20,1,0,19,13,49,17,0,Matches
297,Jacob Murphy,eng ENG,"DF,FW",Newcastle Utd,25-317,1995,7.2,16,10,7,8,1,10,17,58.8,7,127,27,21.3,55,44,28,17,2,0,15,5,21,11,0,Matches
298,Shkodran Mustafi,de GER,DF,Arsenal,28-264,1992,0.5,1,1,1,0,0,1,1,100,0,7,2,28.6,3,4,0,1,0,0,1,0,1,2,0,Matches
