,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
34,Luke Ayling,eng ENG,DF,Leeds United,29-134,1991,16.8,42,24,21,18,3,10,35,28.6,25,213,85,39.9,112,79,22,41,17,1,24,17,59,34,2,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,31-131,1989,6.6,11,6,3,6,2,4,7,57.1,3,96,33,34.4,42,37,17,19,3,0,16,4,15,20,1,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,26-269,1994,4.1,4,3,2,1,1,0,0,,0,26,9,34.6,13,13,0,7,6,0,1,13,17,18,0,Matches
37,Fabián Balbuena,py PAR,DF,West Ham,29-136,1991,12,22,13,18,4,0,9,18,50,9,118,41,34.7,76,41,1,22,4,0,18,12,34,81,1,Matches
38,George Baldock,eng ENG,DF,Sheffield Utd,27-303,1993,16,27,8,16,8,3,11,25,44,14,218,54,24.8,94,82,42,22,3,0,19,10,37,39,0,Matches
39,Gareth Bale,wal WAL,FW,Tottenham,31-174,1989,1.8,2,1,1,0,1,1,2,50,1,21,5,23.8,3,10,8,2,0,0,2,1,3,4,0,Matches
40,Patrick Bamford,eng ENG,FW,Leeds United,27-123,1993,16.2,15,9,3,6,6,4,14,28.6,10,230,67,29.1,16,101,113,9,4,0,5,4,19,19,0,Matches
41,Phil Bardsley,sco SCO,DF,Burnley,35-192,1985,3,6,4,5,1,0,2,4,50,2,37,9,24.3,15,19,3,3,0,0,3,3,9,13,0,Matches
42,Ross Barkley,eng ENG,MF,Chelsea,27-032,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20,2,2,1,0,0,0,0,0,0,0,0,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,27-032,1993,5,3,0,2,1,0,2,6,33.3,4,80,23,28.8,10,45,25,11,2,0,9,2,5,2,0,Matches
44,Ashley Barnes,eng ENG,FW,Burnley,31-068,1989,8.7,12,4,3,5,4,3,6,50,3,121,27,22.3,11,52,58,10,2,0,8,1,13,4,0,Matches
45,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-028,1997,13.2,12,6,5,2,5,3,10,30,7,139,43,30.9,34,56,49,14,3,0,11,12,24,7,0,Matches
46,Kyle Bartley,eng ENG,DF,West Brom,29-229,1991,8.3,7,2,6,1,0,3,10,30,7,59,16,27.1,37,20,2,20,10,1,10,3,10,57,0,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-170,1988,15.8,42,24,22,16,4,19,32,59.4,13,195,52,26.7,99,65,31,26,7,2,19,17,59,65,1,Matches
48,Michy Batshuayi,be BEL,FW,Crystal Palace,27-096,1993,4.8,2,2,1,1,0,1,6,16.7,5,56,13,23.2,5,28,23,9,1,0,8,2,4,4,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,24-269,1996,16,15,9,11,3,1,5,15,33.3,10,101,38,37.6,67,32,2,27,11,0,16,23,38,91,1,Matches
50,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-263,1997,2.9,8,7,3,5,0,2,6,33.3,4,53,15,28.3,7,30,16,9,1,0,8,3,11,3,0,Matches
51,Héctor Bellerín,es ESP,DF,Arsenal,25-293,1995,14.2,18,11,9,7,2,6,23,26.1,17,115,35,30.4,38,59,18,34,6,0,28,4,22,26,0,Matches
