,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
225,Alexandre Lacazette,fr FRA,FW,Arsenal,29-223,1991,9.6,23,2.4,13,0,2,1,3,4,1,0.1,1,0,0,0,0,0,0,Matches
226,Adam Lallana,eng ENG,"MF,FW",Brighton,32-241,1988,8.5,23,2.7,21,0,0,1,1,0,2,0.23,1,0,0,1,0,0,0,Matches
227,Érik Lamela,ar ARG,FW,Tottenham,28-308,1992,2.2,9,4.11,3,2,0,1,1,2,3,1.37,0,1,0,1,0,1,0,Matches
228,Tariq Lamptey,eng ENG,DF,Brighton,20-098,2000,9.8,24,2.44,19,0,1,0,4,0,4,0.41,2,0,0,0,2,0,0,Matches
229,Manuel Lanzini,ar ARG,"MF,FW",West Ham,27-326,1993,2.6,9,3.48,4,1,1,1,1,1,4,1.55,2,0,0,1,1,0,0,Matches
230,Aymeric Laporte,fr FRA,DF,Manchester City,26-224,1994,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27-056,1993,7.5,1,0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
232,Maxime Le Marchand,fr FRA,DF,Fulham,31-087,1989,1.4,2,1.46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Mario Lemina,ga GAB,MF,Fulham,27-127,1993,5.1,8,1.58,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Bernd Leno,de GER,GK,Arsenal,28-308,1992,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Jamal Lewis,nir NIR,DF,Newcastle Utd,22-347,1998,11.3,17,1.5,15,2,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
236,Victor Lindelöf,se SWE,DF,Manchester Utd,26-173,1994,12.7,5,0.39,5,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
237,Jake Livermore,eng ENG,MF,West Brom,31-053,1989,8.5,5,0.59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Diego Llorente,es ESP,DF,Leeds United,27-143,1993,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Hugo Lloris,fr FRA,GK,Tottenham,34-011,1986,16,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
240,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,24-272,1996,4.9,17,3.49,10,3,0,1,3,0,3,0.62,3,0,0,0,0,0,0,Matches
241,Ruben Loftus-Cheek,eng ENG,"FW,MF",Fulham,24-349,1996,6.7,10,1.49,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
242,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24-349,1996,0.7,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Kevin Long,ie IRL,DF,Burnley,30-141,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Shane Long,ie IRL,"FW,MF",Southampton,33-350,1987,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Matthew Longstaff,eng ENG,MF,Newcastle Utd,20-291,2000,3.3,2,0.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Sean Longstaff,eng ENG,MF,Newcastle Utd,23-068,1997,8.2,8,0.98,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
247,Ademola Lookman,eng ENG,FW,Fulham,23-078,1997,11.2,43,3.84,29,3,2,5,3,1,6,0.54,3,1,2,0,0,0,0,Matches
248,Max Lowe,eng ENG,DF,Sheffield Utd,23-240,1997,4.6,4,0.87,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Matthew Lowton,eng ENG,DF,Burnley,31-211,1989,11,9,0.82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,David Luiz,br BRA,DF,Arsenal,33-259,1987,5.3,3,0.56,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Douglas Luiz,br BRA,MF,Aston Villa,22-242,1998,13.6,27,1.99,24,2,0,1,0,0,3,0.22,3,0,0,0,0,0,0,Matches
252,John Lundstram,eng ENG,MF,Sheffield Utd,26-323,1994,8.5,20,2.34,15,4,0,0,0,1,1,0.12,0,1,0,0,0,0,0,Matches
