,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
328,Ayoze Pérez,es ESP,"MF,FW",Leicester City,27-167,1993,6,25,4.18,18,1,3,2,1,0,4,0.67,3,0,1,0,0,0,0,Matches
329,Kalvin Phillips,eng ENG,MF,Leeds United,25-035,1995,13.5,29,2.15,20,7,0,1,0,1,1,0.07,1,0,0,0,0,0,0,Matches
330,Matt Phillips,sco SCO,"MF,DF",West Brom,29-299,1991,7.2,15,2.08,10,4,1,0,0,0,1,0.14,1,0,0,0,0,0,0,Matches
331,Nathaniel Phillips,eng ENG,DF,Liverpool,23-291,1997,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Jordan Pickford,eng ENG,GK,Everton,26-305,1994,14,4,0.29,3,1,0,0,0,0,2,0.14,2,0,0,0,0,0,0,Matches
333,Erik Pieters,nl NED,"DF,MF",Burnley,32-152,1988,4,3,0.75,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
334,Daniel Podence,pt POR,"FW,MF",Wolves,25-077,1995,12.4,43,3.46,28,1,9,1,3,1,6,0.48,2,0,4,0,0,0,0,Matches
335,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27-297,1993,9.6,30,3.14,19,1,0,2,6,2,1,0.1,0,0,0,0,1,0,0,Matches
336,Nick Pope,eng ENG,GK,Burnley,28-262,1992,14,4,0.29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Dennis Praet,be BEL,"MF,FW",Leicester City,26-237,1994,7.3,13,1.79,12,0,0,0,0,1,2,0.28,2,0,0,0,0,0,0,Matches
338,Davy Pröpper,nl NED,MF,Brighton,29-126,1991,1.2,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Christian Pulisic,us USA,"FW,MF",Chelsea,22-110,1998,7.7,29,3.76,18,1,5,2,1,2,4,0.52,3,0,0,1,0,0,0,Matches
340,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-237,1998,17,5,0.29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,19-223,2001,1.4,1,0.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Darren Randolph,ie IRL,GK,West Ham,33-239,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Marcus Rashford,eng ENG,FW,Manchester Utd,23-067,1997,15.1,46,3.04,35,0,6,1,4,0,7,0.46,7,0,0,0,0,0,0,Matches
344,Tim Ream,us USA,DF,Fulham,33-093,1987,5,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Nathan Redmond,eng ENG,MF,Southampton,26-306,1994,4.5,9,2.01,7,0,1,0,1,0,2,0.45,2,0,0,0,0,0,0,Matches
346,Harrison Reed,eng ENG,MF,Fulham,25-345,1995,7.9,11,1.38,8,3,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
347,Sergio Reguilón,es ESP,DF,Tottenham,24-021,1996,9.8,17,1.74,11,0,0,4,2,0,2,0.2,2,0,0,0,0,0,0,Matches
348,Bobby Reid,jm JAM,"DF,FW",Fulham,27-339,1993,10.3,9,0.87,6,0,2,0,1,0,3,0.29,2,0,0,0,1,0,0,Matches
349,Declan Rice,eng ENG,MF,West Ham,21-358,1999,17,29,1.71,25,1,1,1,0,1,3,0.18,2,0,0,1,0,0,0,Matches
350,Richarlison,br BRA,FW,Everton,23-241,1997,11.1,32,2.89,22,0,4,2,4,0,7,0.63,4,0,1,1,1,0,0,Matches
351,Jaïro Riedewald,nl NED,MF,Crystal Palace,24-119,1996,6.7,8,1.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,31-118,1989,5.7,15,2.64,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
353,Tyler Roberts,wal WAL,"MF,FW",Leeds United,21-360,1999,2.7,7,2.6,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
354,Andrew Robertson,sco SCO,DF,Liverpool,26-301,1994,17,47,2.76,34,11,2,0,0,0,10,0.59,6,2,2,0,0,0,0,Matches
355,Antonee Robinson,us USA,DF,Fulham,23-151,1997,12,30,2.5,26,2,1,0,1,0,1,0.08,1,0,0,0,0,0,0,Matches
356,Callum Robinson,ie IRL,"FW,MF",West Brom,25-339,1995,9.4,25,2.66,19,0,5,0,1,0,1,0.11,0,0,1,0,0,0,0,Matches
357,Jack Robinson,eng ENG,DF,Sheffield Utd,27-127,1993,6.7,2,0.3,1,0,0,0,1,0,1,0.15,0,0,0,0,1,0,0,Matches
358,Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,31-230,1989,1.6,2,1.27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
359,Marek Rodák,sk SVK,GK,Fulham,24-024,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Joe Rodon,wal WAL,DF,Tottenham,23-076,1997,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Rodri,es ESP,MF,Manchester City,24-198,1996,14.1,28,1.98,23,0,2,2,0,1,0,0,0,0,0,0,0,0,0,Matches
362,Rodrigo,es ESP,MF,Leeds United,29-306,1991,9.1,41,4.52,33,0,2,4,1,1,5,0.55,2,0,0,3,0,0,0,Matches
363,James Rodríguez,co COL,"FW,MF",Everton,29-178,1991,9.6,44,4.57,29,9,2,0,3,1,10,1.04,6,4,0,0,0,0,0,Matches
364,Jay Rodriguez,eng ENG,"FW,MF",Burnley,31-161,1989,6.2,13,2.1,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,Matches
365,Oriol Romeu,es ESP,MF,Southampton,29-104,1991,14.5,26,1.79,24,0,0,0,0,2,2,0.14,2,0,0,0,0,0,0,Matches
366,Antonio Rüdiger,de GER,DF,Chelsea,27-309,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
367,Mathew Ryan,au AUS,GK,Brighton,28-273,1992,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23-300,1997,6.5,17,2.63,14,0,2,0,1,0,3,0.46,3,0,0,0,0,0,0,Matches
369,Romain Saïss,ma MAR,DF,Wolves,30-286,1990,11.7,6,0.51,4,1,0,1,0,0,1,0.09,1,0,0,0,0,0,0,Matches
370,Bukayo Saka,eng ENG,"FW,DF",Arsenal,19-123,2001,13.7,43,3.14,27,5,5,2,4,0,4,0.29,3,0,0,0,1,0,0,Matches
371,Mamadou Sakho,fr FRA,DF,Crystal Palace,30-328,1990,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Mohamed Salah,eg EGY,FW,Liverpool,28-205,1992,15,51,3.41,36,1,3,6,3,2,8,0.53,5,0,0,2,1,0,0,Matches
373,Davinson Sánchez,co COL,DF,Tottenham,24-208,1996,5,2,0.4,1,0,0,1,0,0,1,0.2,1,0,0,0,0,0,0,Matches
374,Robert Sánchez,es ESP,GK,Brighton,23-049,1997,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
375,Romaine Sawyers,kn SKN,MF,West Brom,29-065,1991,12.7,11,0.87,9,0,0,0,2,0,1,0.08,1,0,0,0,0,0,0,Matches
376,Fabian Schär,ch SUI,DF,Newcastle Utd,29-017,1991,7.6,3,0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-014,1992,10.8,24,2.21,18,0,2,1,3,0,4,0.37,2,0,0,1,1,0,0,Matches
378,Kasper Schmeichel,dk DEN,GK,Leicester City,34-062,1986,17,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Nélson Semedo,pt POR,DF,Wolves,27-051,1993,13.7,25,1.83,22,0,0,2,1,0,3,0.22,3,0,0,0,0,0,0,Matches
380,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,21-090,1999,3.4,5,1.49,5,0,0,0,0,0,1,0.3,1,0,0,0,0,0,0,Matches
381,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,29-088,1991,1,4,4.09,4,0,0,0,0,0,1,1.02,1,0,0,0,0,0,0,Matches
382,Billy Sharp,eng ENG,"FW,MF",Sheffield Utd,34-336,1986,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Luke Shaw,eng ENG,DF,Manchester Utd,25-178,1995,10.9,31,2.85,16,13,0,0,2,0,4,0.37,1,2,0,0,1,0,0,Matches
384,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28-314,1992,8.1,19,2.35,12,6,0,1,0,0,3,0.37,2,1,0,0,0,0,0,Matches
385,Gylfi Sigurðsson,is ISL,MF,Everton,31-120,1989,9.2,26,2.84,16,9,0,1,0,0,2,0.22,1,1,0,0,0,0,0,Matches
386,Bernardo Silva,pt POR,"FW,MF",Manchester City,26-149,1994,7.2,25,3.49,21,1,0,1,2,0,1,0.14,1,0,0,0,0,0,0,Matches
387,Fábio Silva,pt POR,FW,Wolves,18-171,2002,5.9,9,1.54,5,0,1,2,1,0,1,0.17,0,0,0,0,1,0,0,Matches
388,Thiago Silva,br BRA,DF,Chelsea,36-106,1984,11.8,8,0.68,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Moussa Sissoko,fr FRA,MF,Tottenham,31-143,1989,11.8,11,0.93,10,0,0,0,1,0,1,0.08,1,0,0,0,0,0,0,Matches
390,Islam Slimani,dz ALG,FW,Leicester City,32-202,1988,0.2,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
391,William Smallbone,ie IRL,MF,Southampton,20-320,2000,1.2,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Emile Smith-Rowe,eng ENG,MF,Arsenal,20-162,2000,2.5,10,3.95,6,0,0,2,2,0,3,1.18,2,0,0,1,0,0,0,Matches
393,Robert Snodgrass,sco SCO,"FW,DF",West Ham,33-121,1987,0.1,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
394,Cédric Soares,pt POR,MF,Arsenal,29-128,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
395,Tomáš Sou?ek,cz CZE,MF,West Ham,25-314,1995,17,18,1.06,11,1,0,4,2,0,3,0.18,1,0,0,2,0,0,0,Matches
396,Ça?lar Söyüncü,tr TUR,DF,Leicester City,24-228,1996,4.1,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Zack Steffen,us USA,GK,Manchester City,25-279,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Dale Stephens,eng ENG,MF,Burnley,31-208,1989,2.6,2,0.78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
399,Jack Stephens,eng ENG,DF,Southampton,26-345,1994,6.5,6,0.92,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
400,Raheem Sterling,eng ENG,FW,Manchester City,26-029,1994,13.1,47,3.59,30,0,7,3,7,0,8,0.61,3,0,2,2,1,0,0,Matches
401,Enda Stevens,ie IRL,DF,Sheffield Utd,30-181,1990,14,10,0.71,9,0,0,0,1,0,2,0.14,1,0,0,0,1,0,0,Matches
402,John Stones,eng ENG,DF,Manchester City,26-223,1994,7,2,0.29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Pascal Struijk,nl NED,"DF,MF",Leeds United,21-148,1999,6.3,1,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Matt Targett,eng ENG,DF,Aston Villa,25-110,1995,15,29,1.93,21,5,0,0,2,1,3,0.2,1,1,0,0,1,0,0,Matches
405,James Tarkowski,eng ENG,DF,Burnley,28-048,1992,13,9,0.69,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Charlie Taylor,eng ENG,DF,Burnley,27-110,1993,14.1,16,1.14,11,1,0,1,3,0,3,0.21,2,0,0,0,1,0,0,Matches
407,Nathan Tella,eng ENG,"FW,MF",Southampton,21-185,1999,1.8,4,2.25,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Matches
408,Alex Telles,br BRA,DF,Manchester Utd,28-022,1992,4.8,13,2.73,6,5,0,1,1,0,1,0.21,1,0,0,0,0,0,0,Matches
409,Kenny Tete,nl NED,DF,Fulham,25-089,1995,1.4,5,3.52,5,0,0,0,0,0,1,0.7,1,0,0,0,0,0,0,Matches
410,Luke Thomas,eng ENG,DF,Leicester City,,,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
411,Youri Tielemans,be BEL,MF,Leicester City,23-244,1997,16.4,32,1.95,26,1,1,3,0,1,6,0.37,6,0,0,0,0,0,0,Matches
412,Kieran Tierney,sco SCO,DF,Arsenal,23-215,1997,15.9,39,2.45,29,2,4,1,3,0,4,0.25,1,0,2,0,1,0,0,Matches
413,James Tomkins,eng ENG,DF,Crystal Palace,31-283,1989,2.3,1,0.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
414,Fikayo Tomori,eng ENG,DF,Chelsea,23-018,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
415,Ferrán Torres,es ESP,FW,Manchester City,20-312,2000,6.3,14,2.21,11,0,2,0,1,0,2,0.32,2,0,0,0,0,0,0,Matches
416,Cenk Tosun,tr TUR,FW,Everton,29-213,1991,0.5,2,3.75,2,0,0,0,0,0,1,1.87,1,0,0,0,0,0,0,Matches
417,Andros Townsend,eng ENG,MF,Crystal Palace,29-174,1991,12.4,30,2.43,19,8,3,0,0,0,5,0.4,4,1,0,0,0,0,0,Matches
418,Conor Townsend,eng ENG,DF,West Brom,27-308,1993,7.8,8,1.02,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Adama Traoré,es ESP,"FW,DF",Wolves,24-347,1996,11.5,48,4.17,30,0,9,1,7,1,1,0.09,0,0,0,0,1,0,0,Matches
420,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,25-122,1995,6.8,22,3.24,8,5,3,1,5,0,2,0.29,1,1,0,0,0,0,0,Matches
421,Trézéguet,eg EGY,FW,Aston Villa,26-097,1994,8,22,2.77,15,0,1,3,3,0,1,0.13,1,0,0,0,0,0,0,Matches
422,Leandro Trossard,be BEL,"FW,MF",Brighton,26-033,1994,11.4,41,3.6,27,9,0,3,1,1,5,0.44,3,1,0,1,0,0,0,Matches
423,Axel Tuanzebe,eng ENG,DF,Manchester Utd,23-053,1997,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
424,Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23-176,1997,2.3,8,3.48,7,0,0,1,0,0,2,0.87,2,0,0,0,0,0,0,Matches
425,Yan Valery,fr FRA,MF,Southampton,21-319,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
426,Jamie Vardy,eng ENG,FW,Leicester City,33-361,1987,14.5,30,2.08,18,0,4,5,3,0,13,0.9,5,0,2,3,3,0,0,Matches
427,Joël Veltman,nl NED,DF,Brighton,28-357,1992,9.6,15,1.57,11,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
428,Jannik Vestergaard,dk DEN,DF,Southampton,28-156,1992,12.5,10,0.8,10,0,0,0,0,0,2,0.16,2,0,0,0,0,0,0,Matches
429,Rúben Vinagre,pt POR,DF,Wolves,21-272,1999,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
430,Carlos Vinícius,br BRA,FW,Tottenham,25-287,1995,0.2,1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Vitinha,pt POR,MF,Wolves,20-328,2000,1.9,6,3.09,5,0,1,0,0,0,1,0.51,1,0,0,0,0,0,0,Matches
432,Mat?j Vydra,cz CZE,FW,Burnley,28-250,1992,1.9,7,3.6,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Theo Walcott,eng ENG,"MF,FW",Southampton,31-296,1989,11.2,16,1.43,11,0,1,2,2,0,3,0.27,1,0,0,1,1,0,0,Matches
434,Theo Walcott,eng ENG,FW,Everton,31-296,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Kyle Walker,eng ENG,DF,Manchester City,30-223,1990,11,14,1.27,12,2,0,0,0,0,3,0.27,2,1,0,0,0,0,0,Matches
436,Kyle Walker-Peters,eng ENG,DF,Southampton,23-268,1997,17,23,1.35,19,0,0,1,2,1,6,0.35,3,0,0,0,2,1,0,Matches
437,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-041,1997,14,19,1.36,16,1,0,1,0,1,4,0.29,4,0,0,0,0,0,0,Matches
438,Joel Ward,eng ENG,DF,Crystal Palace,31-069,1989,8,6,0.75,5,1,0,0,0,0,2,0.25,2,0,0,0,0,0,0,Matches
439,James Ward-Prowse,eng ENG,MF,Southampton,26-066,1994,17,37,2.18,18,17,0,0,2,0,6,0.35,2,4,0,0,0,0,0,Matches
440,Ollie Watkins,eng ENG,FW,Aston Villa,25-007,1995,15,47,3.13,37,0,3,5,0,2,8,0.53,5,0,0,3,0,0,0,Matches
441,Adam Webster,eng ENG,DF,Brighton,26-002,1995,16,16,1,15,0,0,1,0,0,1,0.06,1,0,0,0,0,0,0,Matches
442,Danny Welbeck,eng ENG,FW,Brighton,30-041,1990,6.9,18,2.61,10,0,3,3,2,0,1,0.14,0,0,0,0,1,0,0,Matches
443,Timo Werner,de GER,FW,Chelsea,24-306,1996,15.1,42,2.79,27,0,4,6,5,0,10,0.66,6,0,2,1,1,0,0,Matches
444,Ashley Westwood,eng ENG,MF,Burnley,30-280,1990,15,39,2.6,30,8,0,0,1,0,1,0.07,1,0,0,0,0,0,0,Matches
445,Ben White,eng ENG,"DF,MF",Brighton,23-090,1997,15.5,15,0.96,13,0,0,0,0,2,3,0.19,3,0,0,0,0,0,0,Matches
446,Georginio Wijnaldum,nl NED,MF,Liverpool,30-056,1990,15,21,1.4,17,0,1,1,2,0,1,0.07,0,0,0,1,0,0,0,Matches
447,Brandon Williams,eng ENG,DF,Manchester Utd,20-125,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
448,Neco Williams,wal WAL,DF,Liverpool,19-268,2001,1.9,2,1.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
449,Rhys Williams,eng ENG,DF,Liverpool,19-338,2001,1.3,1,0.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
450,Willian,br BRA,"FW,MF",Arsenal,32-150,1988,10,33,3.29,21,6,1,2,3,0,5,0.5,3,1,0,1,0,0,0,Matches
451,Joe Willock,eng ENG,MF,Arsenal,21-139,1999,2.6,7,2.66,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Callum Wilson,eng ENG,FW,Newcastle Utd,28-314,1992,13.7,29,2.11,17,0,4,1,6,1,8,0.58,4,0,0,1,3,0,0,Matches
453,Harry Winks,eng ENG,MF,Tottenham,24-339,1996,5,5,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
454,Chris Wood,nz NZL,FW,Burnley,29-030,1991,14.3,18,1.26,15,0,1,1,0,1,2,0.14,1,0,0,1,0,0,0,Matches
455,Granit Xhaka,ch SUI,MF,Arsenal,28-101,1992,11.1,10,0.9,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
456,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31-075,1989,2.7,10,3.64,8,1,0,0,1,0,1,0.36,1,0,0,0,0,0,0,Matches
457,DeAndre Yedlin,us USA,DF,Newcastle Utd,27-181,1993,3.9,6,1.53,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
458,Wilfried Zaha,ci CIV,FW,Crystal Palace,28-057,1992,14.9,40,2.69,27,0,7,1,5,0,7,0.47,6,0,1,0,0,0,0,Matches
459,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,25-051,1995,13.3,30,2.26,21,0,6,0,3,0,4,0.3,2,0,2,0,0,0,0,Matches
460,Andi Zeqiri,ch SUI,"FW,DF",Brighton,21-198,1999,0.7,2,2.81,2,0,0,0,0,0,1,1.41,1,0,0,0,0,0,0,Matches
461,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24-022,1996,1.1,2,1.75,2,0,0,0,0,0,1,0.87,1,0,0,0,0,0,0,Matches
462,Hakim Ziyech,ma MAR,FW,Chelsea,27-293,1993,5,28,5.59,21,4,0,2,1,0,6,1.2,5,1,0,0,0,0,0,Matches
463,Kurt Zouma,fr FRA,DF,Chelsea,26-071,1994,15,6,0.4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
